Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/30/20,2/1/20,9/26/20,Illinois,Female,15-24 years,,231,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Female,18-29 years,13,393,14,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Female,25-34 years,22,440,24,10,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Female,30-49 years,114,1655,126,55,,189,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Female,35-44 years,54,781,59,26,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Female,45-54 years,129,1599,136,62,,205,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Female,50-64 years,426,4994,486,219,18,711,
9/30/20,2/1/20,9/26/20,Illinois,Female,55-64 years,340,4021,402,179,16,579,
9/30/20,2/1/20,9/26/20,Illinois,Female,65-74 years,601,6617,673,316,15,972,
9/30/20,2/1/20,9/26/20,Illinois,Female,75-84 years,863,9293,984,420,27,1453,
9/30/20,2/1/20,9/26/20,Illinois,Female,85 years and over,1517,15881,1454,626,39,2384,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Illinois,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Illinois,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,All Sexes,All Ages,3569,47229,4334,1507,133,6525,
9/30/20,2/1/20,9/26/20,Indiana,Male,All Ages,1813,24143,2322,849,61,3345,
9/30/20,2/1/20,9/26/20,Indiana,Male,Under 1 year,0,153,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,0-17 years,,281,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,1-4 years,,23,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,5-14 years,0,57,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Male,15-24 years,,382,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,18-29 years,,694,10,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,25-34 years,10,774,19,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,30-49 years,54,1941,89,25,,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,35-44 years,19,868,41,10,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,45-54 years,65,1604,103,28,,147,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Male,50-64 years,252,4743,378,124,13,518,
9/30/20,2/1/20,9/26/20,Indiana,Male,55-64 years,215,3798,311,107,11,429,
9/30/20,2/1/20,9/26/20,Indiana,Male,65-74 years,482,5500,597,238,13,854,
9/30/20,2/1/20,9/26/20,Indiana,Male,75-84 years,522,5887,700,248,16,989,
9/30/20,2/1/20,9/26/20,Indiana,Male,85 years and over,498,5097,544,212,12,842,
9/30/20,2/1/20,9/26/20,Indiana,Female,All Ages,1756,23086,2012,658,72,3180,
9/30/20,2/1/20,9/26/20,Indiana,Female,Under 1 year,0,138,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,0-17 years,0,211,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,1-4 years,0,20,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,5-14 years,0,34,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,15-24 years,,118,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,18-29 years,,236,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,25-34 years,,303,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,30-49 years,35,1025,64,18,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,35-44 years,17,444,25,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,45-54 years,46,1018,87,25,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Indiana,Female,50-64 years,156,3186,301,81,16,392,
9/30/20,2/1/20,9/26/20,Indiana,Female,55-64 years,127,2583,248,65,12,322,
9/30/20,2/1/20,9/26/20,Indiana,Female,65-74 years,292,4129,412,132,13,585,
9/30/20,2/1/20,9/26/20,Indiana,Female,75-84 years,505,5733,575,207,15,887,
9/30/20,2/1/20,9/26/20,Indiana,Female,85 years and over,764,8566,653,219,24,1221,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Indiana,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,All Sexes,All Ages,1308,20926,1484,396,84,2480,
9/30/20,2/1/20,9/26/20,Iowa,Male,All Ages,683,10594,781,210,33,1287,
9/30/20,2/1/20,9/26/20,Iowa,Male,Under 1 year,0,45,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,0-17 years,0,105,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,1-4 years,0,13,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,5-14 years,0,22,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,15-24 years,0,128,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,18-29 years,,199,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,25-34 years,,213,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,30-49 years,24,640,22,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,35-44 years,13,289,11,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,45-54 years,33,602,33,16,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,50-64 years,120,1849,126,46,,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,55-64 years,95,1481,101,33,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,65-74 years,156,2305,181,51,,295,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,75-84 years,174,2613,216,51,,348,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Male,85 years and over,207,2883,230,54,,391,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,All Ages,625,10331,703,186,51,1193,
9/30/20,2/1/20,9/26/20,Iowa,Female,Under 1 year,,43,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,0-17 years,,66,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,1-4 years,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,15-24 years,,39,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,18-29 years,,66,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,25-34 years,,91,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,30-49 years,13,329,15,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,35-44 years,,155,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,45-54 years,15,335,20,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,50-64 years,77,1149,84,32,,134,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,55-64 years,66,933,68,26,,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Female,65-74 years,103,1649,119,34,12,200,
9/30/20,2/1/20,9/26/20,Iowa,Female,75-84 years,151,2396,193,51,12,305,
9/30/20,2/1/20,9/26/20,Iowa,Female,85 years and over,276,4676,286,61,21,522,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Iowa,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Iowa,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,All Sexes,All Ages,709,18232,1219,284,89,1733,
9/30/20,2/1/20,9/26/20,Kansas,Male,All Ages,406,9477,654,168,42,934,
9/30/20,2/1/20,9/26/20,Kansas,Male,Under 1 year,0,70,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,0-17 years,0,119,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,1-4 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,5-14 years,0,18,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Male,15-24 years,,176,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,18-29 years,,280,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,25-34 years,,268,,,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,30-49 years,21,696,27,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,35-44 years,,321,12,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,45-54 years,22,573,23,,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,50-64 years,73,1739,98,33,,147,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,55-64 years,62,1401,85,29,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,65-74 years,93,2034,160,39,,223,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Male,75-84 years,113,2261,163,47,13,242,
9/30/20,2/1/20,9/26/20,Kansas,Male,85 years and over,103,2348,199,41,,268,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,All Ages,303,8754,565,116,47,799,
9/30/20,2/1/20,9/26/20,Kansas,Female,Under 1 year,0,48,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Female,0-17 years,0,78,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,5-14 years,0,14,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,15-24 years,,54,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,18-29 years,,74,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,25-34 years,,97,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,30-49 years,11,388,13,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,35-44 years,,185,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,45-54 years,,353,18,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,50-64 years,36,1124,79,18,,103,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,55-64 years,31,907,65,16,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,65-74 years,48,1499,107,19,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Female,75-84 years,71,2011,131,32,15,185,
9/30/20,2/1/20,9/26/20,Kansas,Female,85 years and over,133,3580,233,45,13,334,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kansas,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kansas,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,All Sexes,All Ages,1205,32181,2910,563,101,3650,
9/30/20,2/1/20,9/26/20,Kentucky,Male,All Ages,568,16759,1548,292,50,1873,
9/30/20,2/1/20,9/26/20,Kentucky,Male,Under 1 year,0,79,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Male,0-17 years,0,181,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Male,1-4 years,0,19,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Male,5-14 years,0,31,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Male,15-24 years,0,270,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,18-29 years,0,451,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,25-34 years,,549,11,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,30-49 years,27,1708,78,14,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,35-44 years,17,862,40,11,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,45-54 years,27,1328,79,11,,100,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,50-64 years,95,3790,288,43,11,351,
9/30/20,2/1/20,9/26/20,Kentucky,Male,55-64 years,76,2992,239,34,,289,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Male,65-74 years,172,3917,408,92,13,500,
9/30/20,2/1/20,9/26/20,Kentucky,Male,75-84 years,152,3865,446,82,11,527,
9/30/20,2/1/20,9/26/20,Kentucky,Male,85 years and over,122,2847,321,61,11,393,
9/30/20,2/1/20,9/26/20,Kentucky,Female,All Ages,637,15421,1362,271,51,1777,
9/30/20,2/1/20,9/26/20,Kentucky,Female,Under 1 year,0,70,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,0-17 years,0,118,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,1-4 years,0,12,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Female,5-14 years,0,24,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Female,15-24 years,0,102,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,18-29 years,0,192,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,25-34 years,,245,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,30-49 years,,907,53,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,35-44 years,,407,25,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,45-54 years,16,879,63,,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,50-64 years,67,2513,204,37,14,247,
9/30/20,2/1/20,9/26/20,Kentucky,Female,55-64 years,56,1991,164,32,13,200,
9/30/20,2/1/20,9/26/20,Kentucky,Female,65-74 years,107,2995,292,50,13,361,
9/30/20,2/1/20,9/26/20,Kentucky,Female,75-84 years,175,3893,389,83,,486,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Female,85 years and over,279,4803,419,97,12,613,
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Kentucky,Unknown,30-49 years,0,0,0,0,0,0,
